1000 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video1_350_0.mp4 0
477 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video0_477_0.mp4 0
453 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video0_453_0.mp4 0
1766 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video3_158_1.mp4 1
1412 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video2_229_0.mp4 0
674 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video1_24_1.mp4 1
1026 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video1_376_0.mp4 0
2109 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video4_284_0.mp4 0
1684 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video3_76_0.mp4 0
525 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video0_525_0.mp4 0
2266 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video5_131_1.mp4 1
481 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video0_481_0.mp4 0
1642 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video3_34_1.mp4 1
2314 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video5_179_1.mp4 1
1343 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video2_160_1.mp4 1
2392 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video5_257_1.mp4 1
107 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video0_107_0.mp4 0
547 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video0_547_0.mp4 0
514 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video0_514_0.mp4 0
1822 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video3_214_1.mp4 1
1435 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video2_252_1.mp4 1
2434 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video5_299_0.mp4 0
1205 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video2_22_0.mp4 0
1554 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video2_371_0.mp4 0
1701 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video3_93_0.mp4 0
1789 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video3_181_0.mp4 0
1551 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video2_368_0.mp4 0
1132 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video1_482_0.mp4 0
870 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video1_220_1.mp4 1
561 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video0_561_1.mp4 1
292 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video0_292_0.mp4 0
852 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video1_202_1.mp4 1
1252 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video2_69_0.mp4 0
1825 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video4_0_0.mp4 0
778 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video1_128_0.mp4 0
444 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video0_444_0.mp4 0
1290 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video2_107_0.mp4 0
913 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video1_263_0.mp4 0
1669 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video3_61_0.mp4 0
1496 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video2_313_1.mp4 1
4 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video0_4_1.mp4 1
774 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video1_124_0.mp4 0
2112 /Users/seanyamamoto/workspace2/trans/data/dataset/uniform_dataset/video4_287_1.mp4 1
